Linux 5.15.0-100-generic (dev-os) 	03/10/24 	_x86_64_	(4 CPU)

12:17:40          tps      rtps      wtps      dtps   bread/s   bwrtn/s   bdscd/s
12:17:41         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:17:42         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:17:43         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:17:44         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:17:45         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:17:46         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:17:47         2.00      0.00      2.00      0.00      0.00     40.00      0.00
12:17:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:17:49         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:17:50         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:17:51         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:17:52         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:17:53         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:17:54         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:17:55         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:17:56         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:17:57         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:17:58         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:17:59         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:18:00         0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.10      0.00      0.10      0.00      0.00      2.00      0.00
