Linux 5.15.0-100-generic (dev-os) 	03/10/24 	_x86_64_	(4 CPU)

12:16:06          tps      rtps      wtps      dtps   bread/s   bwrtn/s   bdscd/s
12:16:07         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:08         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:09         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:10         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:11         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:12         2.00      0.00      2.00      0.00      0.00     48.00      0.00
12:16:13         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:14         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:15         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:16         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:17         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:18         4.00      0.00      4.00      0.00      0.00     32.00      0.00
12:16:19         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:20         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:21         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:22         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:23         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:24         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:25         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:26         0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         0.30      0.00      0.30      0.00      0.00      4.00      0.00
