Linux 5.15.0-100-generic (dev-os) 	03/10/24 	_x86_64_	(4 CPU)

12:16:35          tps      rtps      wtps      dtps   bread/s   bwrtn/s   bdscd/s
12:16:36         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:37        21.00      0.00     21.00      0.00      0.00    240.00      0.00
12:16:38         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:39         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:40         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:41         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:42         2.00      0.00      2.00      0.00      0.00     40.00      0.00
12:16:43         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:44         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:45         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:46         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:47         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:48         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:49         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:50         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:51         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:52         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:53         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:54         0.00      0.00      0.00      0.00      0.00      0.00      0.00
12:16:55         0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         1.15      0.00      1.15      0.00      0.00     14.00      0.00
